/Users/katebokhan/anaconda3/envs/6.86x/bin/python /Users/katebokhan/Desktop/wb_nn_project/CNNmodels/Resnet18/task/transfer_learning_resnet_from_0.py
/Users/katebokhan/anaconda3/envs/6.86x/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/Users/katebokhan/anaconda3/envs/6.86x/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
Using mps device
Training - Epoch 1/100, Loss: 2.8706, Accuracy: 40.9375%
Testing - Epoch 83/100, Loss: 0.3656, Accuracy: 88.9286%
Training - Epoch 84/100, Loss: 0.0577, Accuracy: 98.3482%
Testing - Epoch 84/100, Loss: 0.3474, Accuracy: 89.8214%
Training - Epoch 85/100, Loss: 0.0561, Accuracy: 98.4375%
Testing - Epoch 85/100, Loss: 0.4040, Accuracy: 88.5714%
Training - Epoch 86/100, Loss: 0.0502, Accuracy: 98.7500%
Testing - Epoch 86/100, Loss: 0.3446, Accuracy: 91.0714%
Training - Epoch 87/100, Loss: 0.0480, Accuracy: 98.7054%
Testing - Epoch 87/100, Loss: 0.3532, Accuracy: 90.1786%
Training - Epoch 88/100, Loss: 0.0585, Accuracy: 98.3036%
Testing - Epoch 88/100, Loss: 0.3600, Accuracy: 90.3571%
Training - Epoch 89/100, Loss: 0.0442, Accuracy: 98.9732%
Testing - Epoch 89/100, Loss: 0.3678, Accuracy: 90.5357%
Training - Epoch 90/100, Loss: 0.0612, Accuracy: 98.1696%
Testing - Epoch 90/100, Loss: 0.3861, Accuracy: 89.1071%
Training - Epoch 91/100, Loss: 0.0578, Accuracy: 98.2589%
Testing - Epoch 91/100, Loss: 0.3601, Accuracy: 90.1786%
Training - Epoch 92/100, Loss: 0.0467, Accuracy: 98.6161%
Testing - Epoch 92/100, Loss: 0.3813, Accuracy: 90.0000%
Training - Epoch 93/100, Loss: 0.0427, Accuracy: 98.7500%
Testing - Epoch 93/100, Loss: 0.3629, Accuracy: 90.3571%
Training - Epoch 94/100, Loss: 0.0459, Accuracy: 98.8839%
Testing - Epoch 94/100, Loss: 0.3612, Accuracy: 91.0714%
Training - Epoch 95/100, Loss: 0.0415, Accuracy: 98.9732%
Testing - Epoch 95/100, Loss: 0.3888, Accuracy: 90.0000%
Training - Epoch 96/100, Loss: 0.0422, Accuracy: 98.7054%
Testing - Epoch 96/100, Loss: 0.3762, Accuracy: 90.0000%
Training - Epoch 97/100, Loss: 0.0449, Accuracy: 98.8839%
Testing - Epoch 97/100, Loss: 0.4126, Accuracy: 89.4643%
Training - Epoch 98/100, Loss: 0.0447, Accuracy: 98.5268%
Testing - Epoch 98/100, Loss: 0.3620, Accuracy: 90.0000%
Training - Epoch 99/100, Loss: 0.0450, Accuracy: 98.8393%
Testing - Epoch 99/100, Loss: 0.4122, Accuracy: 89.1071%
Training - Epoch 100/100, Loss: 0.0417, Accuracy: 99.2411%
Testing - Epoch 100/100, Loss: 0.3602, Accuracy: 89.6429%
Training complete.
Train: [40.9375, 70.66964285714286, 76.42857142857142, 79.28571428571428, 80.58035714285714, 81.91964285714286, 82.72321428571429, 83.92857142857143, 85.08928571428571, 86.5625, 86.07142857142858, 85.66964285714286, 86.96428571428572, 87.58928571428571, 90.40178571428571, 87.90178571428572, 89.19642857142858, 90.22321428571428, 90.08928571428572, 90.13392857142857, 91.29464285714286, 91.5625, 91.65178571428572, 92.14285714285714, 92.99107142857143, 91.74107142857143, 92.00892857142857, 92.8125, 93.25892857142857, 93.4375, 93.61607142857142, 93.70535714285714, 94.0625, 94.24107142857143, 94.375, 94.375, 94.6875, 93.66071428571429, 94.46428571428571, 95.08928571428571, 95.49107142857143, 95.71428571428572, 95.98214285714286, 96.42857142857143, 95.44642857142858, 96.42857142857143, 95.625, 95.66964285714286, 95.89285714285715, 95.58035714285714, 95.84821428571428, 96.33928571428572, 95.89285714285715, 96.96428571428571, 96.20535714285714, 97.1875, 96.74107142857142, 97.58928571428571, 96.65178571428571, 97.85714285714285, 97.76785714285714, 97.05357142857143, 97.99107142857143, 97.85714285714285, 97.14285714285714, 97.94642857142857, 98.25892857142857, 97.32142857142857, 97.67857142857143, 97.67857142857143, 97.94642857142857, 98.08035714285714, 97.5, 97.8125, 97.94642857142857, 98.34821428571429, 97.58928571428571, 97.67857142857143, 98.25892857142857, 97.99107142857143, 98.52678571428571, 98.03571428571428, 98.125, 98.34821428571429, 98.4375, 98.75, 98.70535714285714, 98.30357142857142, 98.97321428571428, 98.16964285714286, 98.25892857142857, 98.61607142857143, 98.75, 98.88392857142857, 98.97321428571428, 98.70535714285714, 98.88392857142857, 98.52678571428571, 98.83928571428572, 99.24107142857143]
Test: [68.39285714285714, 71.96428571428571, 76.60714285714286, 79.28571428571428, 80.71428571428572, 82.32142857142857, 80.53571428571429, 80.71428571428572, 81.78571428571428, 83.21428571428572, 82.5, 82.67857142857142, 82.5, 85.0, 85.17857142857143, 84.46428571428571, 84.28571428571429, 85.17857142857143, 86.07142857142858, 85.89285714285714, 85.89285714285714, 86.25, 85.53571428571428, 87.85714285714286, 85.35714285714285, 85.17857142857143, 86.96428571428572, 87.85714285714286, 87.85714285714286, 88.03571428571428, 88.03571428571428, 87.32142857142857, 86.96428571428572, 87.32142857142857, 87.67857142857143, 87.5, 86.78571428571429, 87.32142857142857, 86.42857142857143, 87.5, 88.57142857142857, 87.67857142857143, 87.32142857142857, 87.32142857142857, 88.39285714285714, 87.67857142857143, 89.46428571428572, 88.57142857142857, 88.03571428571428, 89.10714285714286, 88.39285714285714, 87.14285714285714, 88.39285714285714, 90.17857142857143, 89.46428571428572, 90.0, 90.0, 89.64285714285715, 89.82142857142857, 90.53571428571429, 88.92857142857142, 88.57142857142857, 89.46428571428572, 90.35714285714286, 90.17857142857143, 89.28571428571429, 87.85714285714286, 89.28571428571429, 89.82142857142857, 90.35714285714286, 89.46428571428572, 90.53571428571429, 89.46428571428572, 89.82142857142857, 89.64285714285715, 90.17857142857143, 89.64285714285715, 90.17857142857143, 89.82142857142857, 90.35714285714286, 91.07142857142857, 90.0, 88.92857142857142, 89.82142857142857, 88.57142857142857, 91.07142857142857, 90.17857142857143, 90.35714285714286, 90.53571428571429, 89.10714285714286, 90.17857142857143, 90.0, 90.35714285714286, 91.07142857142857, 90.0, 90.0, 89.46428571428572, 90.0, 89.10714285714286, 89.64285714285715]

Process finished with exit code 0
